,annee,patho_niv1,patho_niv2,patho_niv3,top,comorbidite,libelle_comorbidite,region,dept,Ncomorb,Ntop,Proportion_comorb,patho_niv2_comorb,patho_niv3_comorb,patho_niv1_comorb,Niveau prioritaire
12,2019,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,6500.0,1731110.0,0.003756,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"1,2,3"
32,2019,Cancers,,,CAN_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,13120.0,3312970.0,0.003961,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
50,2019,Cancers,Autres cancers,,CAN_AUT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,14950.0,1777580.0,0.008411,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
92,2019,Cancers,Autres cancers,Autres cancers sous surveillance,CAN_AUT_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,5920.0,914050.0,0.006479,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
106,2019,Cancers,Cancer bronchopulmonaire,,CAN_BPU_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,1950.0,152410.0,0.012801,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
113,2019,Cancers,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,CAN_BPU_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,40740.0,97710.0,0.416986,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
125,2019,Cancers,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,CAN_BPU_ACT,MCV_EPU_IND,Embolie pulmonaire,99,999,1690.0,97710.0,0.017327,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
169,2019,Cancers,Cancer colorectal,,CAN_CRE_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1990.0,375820.0,0.005287,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
179,2019,Cancers,Cancer colorectal,Cancer colorectal actif,CAN_CRE_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,18210.0,149130.0,0.122098,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
191,2019,Cancers,Cancer colorectal,Cancer colorectal actif,CAN_CRE_ACT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1480.0,149130.0,0.009951,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
219,2019,Cancers,Cancer de la prostate,,CAN_PRO_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,64470.0,540050.0,0.119381,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
229,2019,Cancers,Cancer de la prostate,,CAN_PRO_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2800.0,540050.0,0.005177,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
231,2019,Cancers,Cancer de la prostate,,CAN_PRO_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,1770.0,540050.0,0.003272,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
250,2019,Cancers,Cancer de la prostate,Cancer de la prostate actif,CAN_PRO_ACT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,780.0,218900.0,0.003559,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
260,2019,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,39210.0,321160.0,0.122075,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
273,2019,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1630.0,321160.0,0.005082,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
285,2019,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,62650.0,728250.0,0.08603,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
292,2019,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2500.0,728250.0,0.003432,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
294,2019,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1920.0,728250.0,0.002639,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
327,2019,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1500.0,501930.0,0.002981,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
329,2019,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1200.0,501930.0,0.002381,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
330,2019,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,MCV_EPU_IND,Embolie pulmonaire,99,999,1030.0,501930.0,0.002046,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
355,2019,Diabète,Diabète,Diabète,DIA_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,9610.0,3917690.0,0.002452,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
361,2019,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,INF_COV_HOS,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,,,,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"1,2,3"
362,2019,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,INF_COV_HOS,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
386,2019,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",HHP_CAT_INC,MCV_EPU_IND,Embolie pulmonaire,99,999,23850.0,9951070.0,0.002396,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
406,2019,Insuffisance rénale chronique terminale,,,IRT_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,360.0,97570.0,0.003649,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
