cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
85-89,2,77,12.957,"1,2,3",35.38904109589041
85-89,2,91,11.572,"1,2,3",34.536986301369865
85-89,2,93,12.874,"1,2,3",32.013698630136986
85-89,9,77,13.863,"1,2,3",35.38904109589041
85-89,9,78,11.992,"1,2,3",35.106849315068494
85-89,9,91,12.306,"1,2,3",34.536986301369865
90-94,1,75,13.046,"1,2,3",29.65205479452055
90-94,1,78,13.51,"1,2,3",35.106849315068494
90-94,1,93,16.018,"1,2,3",32.013698630136986
90-94,1,94,14.408,"1,2,3",31.40821917808219
90-94,1,95,14.857,"1,2,3",35.342465753424655
90-94,2,75,11.001,"1,2,3",29.65205479452055
90-94,2,93,12.461,"1,2,3",32.013698630136986
90-94,2,95,12.295,"1,2,3",35.342465753424655
95et+,1,78,12.602,"1,2,3",35.106849315068494
95et+,1,94,12.142,"1,2,3",31.40821917808219
95et+,2,75,10.654,"1,2,3",29.65205479452055
95et+,2,77,13.0,"1,2,3",35.38904109589041
95et+,2,94,10.997,"1,2,3",31.40821917808219
95et+,9,92,11.277,"1,2,3",31.04383561643836
95et+,9,93,12.48,"1,2,3",32.013698630136986
tsage,1,75,4.534,"1,2,3",29.65205479452055
tsage,1,94,4.962,"1,2,3",31.40821917808219
tsage,2,78,4.612,"1,2,3",35.106849315068494
tsage,2,92,4.578,"1,2,3",31.04383561643836
tsage,2,94,4.863,"1,2,3",31.40821917808219
tsage,9,92,4.624,"1,2,3",31.04383561643836
tsage,9,93,5.35,"1,2,3",32.013698630136986
tsage,9,95,5.144,"1,2,3",35.342465753424655
00-04,1,75,7.264,"1,2,3",29.65205479452055
00-04,1,92,8.532,"1,2,3",31.04383561643836
00-04,1,94,7.279,"1,2,3",31.40821917808219
00-04,1,95,8.107,"1,2,3",35.342465753424655
00-04,2,75,4.554,"1,2,3",29.65205479452055
00-04,2,92,5.804,"1,2,3",31.04383561643836
00-04,2,94,4.567,"1,2,3",31.40821917808219
00-04,2,95,5.167,"1,2,3",35.342465753424655
00-04,9,77,6.364,"1,2,3",35.38904109589041
00-04,9,94,5.948,"1,2,3",31.40821917808219
05-09,1,77,6.808,"1,2,3",35.38904109589041
05-09,1,91,5.693,"1,2,3",34.536986301369865
05-09,1,93,6.651,"1,2,3",32.013698630136986
05-09,1,94,5.757,"1,2,3",31.40821917808219
05-09,2,91,3.705,"1,2,3",34.536986301369865
05-09,9,75,4.625,"1,2,3",29.65205479452055
