cla_age_5,sexe,dept,prev,Niveau prioritaire,no2,o3,pm10
85-89,2,77,12.957,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
85-89,2,91,11.572,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,2,93,12.874,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
85-89,1,77,13.863,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
85-89,1,78,11.992,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
85-89,1,91,12.306,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
90-94,1,75,13.046,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
90-94,1,78,13.51,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
90-94,1,93,16.018,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
90-94,1,94,14.408,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
90-94,1,95,14.857,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
90-94,2,75,11.001,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
90-94,2,93,12.461,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
90-94,2,95,12.295,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
95et+,1,78,12.602,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
95et+,1,94,12.142,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
95et+,2,75,10.654,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
95et+,2,77,13.0,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
95et+,2,94,10.997,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
95et+,1,92,11.277,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
95et+,1,93,12.48,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
tsage,1,75,4.534,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
tsage,1,94,4.962,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
tsage,2,78,4.612,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
tsage,2,92,4.578,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
tsage,2,94,4.863,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
tsage,1,92,4.624,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
tsage,1,93,5.35,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
tsage,1,95,5.144,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,1,75,7.264,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,1,92,8.532,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
00-04,1,94,7.279,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
00-04,1,95,8.107,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,2,75,4.554,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,2,92,5.804,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
00-04,2,94,4.567,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
00-04,2,95,5.167,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,1,77,6.364,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
00-04,1,94,5.948,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,1,77,6.808,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
05-09,1,91,5.693,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
05-09,1,93,6.651,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
05-09,1,94,5.757,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,2,91,3.705,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
05-09,1,75,4.625,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,1,75,4.023,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,1,91,4.072,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
10-14,1,92,4.02,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,2,78,2.353,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,1,92,3.267,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,1,94,3.373,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
15-19,1,77,2.947,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,1,91,2.534,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
15-19,1,93,2.896,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
15-19,1,94,2.414,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
15-19,2,75,2.192,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
15-19,2,92,2.057,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
15-19,2,93,2.539,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
15-19,2,94,2.045,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
15-19,1,77,2.699,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,1,93,2.716,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,1,92,1.717,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
20-24,1,94,1.765,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
20-24,2,78,1.948,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,2,94,1.906,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
20-24,2,95,1.949,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,1,91,1.779,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
25-29,1,95,1.897,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,2,75,1.503,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
25-29,2,78,2.149,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,2,94,2.053,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
25-29,1,78,2.052,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,1,92,1.745,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
25-29,1,93,2.124,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
25-29,1,94,1.895,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,1,75,1.781,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
30-34,1,77,2.404,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
30-34,1,91,2.277,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
30-34,1,94,1.926,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,2,77,2.825,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
30-34,2,78,2.588,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,2,94,2.609,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,1,92,1.998,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
30-34,1,95,2.552,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
35-39,1,75,2.147,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
