cla_age_5,sexe,dept,Ntop,Npop,prev,Niveau prioritaire,no2,o3,pm10
85-89,2,77,1550.0,11990,12.957,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
85-89,2,91,1380.0,11890,11.572,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,2,93,1510.0,11760,12.874,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
85-89,9,77,2560.0,18490,13.863,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
85-89,9,78,2760.0,23040,11.992,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
85-89,9,91,2350.0,19060,12.306,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,9,0,22910.0,181240,12.642,"1,2,3",,,
90-94,1,75,810.0,6180,13.046,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
90-94,1,78,480.0,3550,13.51,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
90-94,1,93,380.0,2390,16.018,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
90-94,1,94,460.0,3160,14.408,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
90-94,1,95,330.0,2200,14.857,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
90-94,2,75,1670.0,15150,11.001,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
90-94,2,93,720.0,5790,12.461,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
90-94,2,95,700.0,5660,12.295,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
95et+,1,78,110.0,860,12.602,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
95et+,1,94,90.0,730,12.142,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
95et+,1,0,940.0,6900,13.642,"1,2,3",,,
95et+,2,75,700.0,6560,10.654,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
95et+,2,77,340.0,2620,13.0,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
95et+,2,94,330.0,3010,10.997,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
95et+,9,92,610.0,5440,11.277,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
95et+,9,93,320.0,2560,12.48,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
95et+,9,0,3850.0,33300,11.557,"1,2,3",,,
tsage,1,75,44150.0,973800,4.534,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
tsage,1,94,30810.0,620860,4.962,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
tsage,2,78,33930.0,735600,4.612,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
tsage,2,92,37680.0,823030,4.578,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
tsage,2,94,34010.0,699410,4.863,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
tsage,2,0,296840.0,6163560,4.816,"1,2,3",,,
tsage,9,92,71420.0,1544760,4.624,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
tsage,9,93,81660.0,1526210,5.35,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
tsage,9,95,62290.0,1211040,5.144,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,1,75,3990.0,54950,7.264,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,1,92,4650.0,54510,8.532,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
00-04,1,94,3450.0,47410,7.279,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
00-04,1,95,3790.0,46710,8.107,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,2,75,2390.0,52570,4.554,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,2,92,2990.0,51560,5.804,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
00-04,2,94,2090.0,45680,4.567,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
00-04,2,95,2300.0,44500,5.167,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
00-04,2,0,19070.0,388510,4.909,"1,2,3",,,
00-04,9,77,5790.0,91030,6.364,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
00-04,9,94,5540.0,93090,5.948,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,1,77,3360.0,49390,6.808,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
05-09,1,91,2590.0,45440,5.693,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
05-09,1,93,4000.0,60080,6.651,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
05-09,1,94,2600.0,45070,5.757,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,2,91,1610.0,43540,3.705,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
05-09,9,75,4510.0,97610,4.625,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,1,75,1890.0,47080,4.023,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,1,91,1710.0,41920,4.072,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
10-14,1,92,1890.0,46990,4.02,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,1,0,15810.0,365830,4.32,"1,2,3",,,
10-14,2,78,1090.0,46160,2.353,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,9,92,3000.0,91820,3.267,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,9,94,2700.0,79960,3.373,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
10-14,9,0,25340.0,717880,3.529,"1,2,3",,,
15-19,1,77,1270.0,43090,2.947,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,1,91,970.0,38130,2.534,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
15-19,1,93,1310.0,45230,2.896,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
15-19,1,94,890.0,36830,2.414,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
15-19,2,75,1020.0,46590,2.192,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
15-19,2,92,860.0,41960,2.057,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
15-19,2,93,1170.0,46190,2.539,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
15-19,2,94,760.0,36970,2.045,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
15-19,9,77,2330.0,86420,2.699,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,9,93,2480.0,91420,2.716,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
15-19,9,0,16180.0,666890,2.426,"1,2,3",,,
20-24,1,92,650.0,37790,1.717,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
20-24,1,94,590.0,33650,1.765,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
20-24,1,0,5540.0,301800,1.836,"1,2,3",,,
20-24,2,78,830.0,42670,1.948,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,2,94,770.0,40550,1.906,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
20-24,2,95,730.0,37660,1.949,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,1,91,670.0,37560,1.779,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
25-29,1,95,670.0,35430,1.897,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,2,75,1730.0,114740,1.503,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
25-29,2,78,970.0,45080,2.149,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,2,94,1050.0,51350,2.053,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
25-29,2,0,9340.0,465760,2.005,"1,2,3",,,
25-29,9,78,1720.0,83770,2.052,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,9,92,1890.0,108410,1.745,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
25-29,9,93,2280.0,107190,2.124,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
25-29,9,94,1750.0,92170,1.895,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,1,75,1510.0,84880,1.781,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
30-34,1,77,990.0,41230,2.404,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
30-34,1,91,880.0,38690,2.277,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
30-34,1,94,830.0,43150,1.926,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,2,77,1390.0,49170,2.825,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
30-34,2,78,1230.0,47340,2.588,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,2,94,1380.0,52770,2.609,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
30-34,9,92,2340.0,117210,1.998,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
30-34,9,95,2180.0,85440,2.552,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
35-39,1,75,1590.0,74250,2.147,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
35-39,2,75,1790.0,80050,2.239,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
35-39,2,77,1690.0,50210,3.37,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
35-39,2,92,1610.0,62840,2.557,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
35-39,9,92,2790.0,117600,2.375,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
40-44,1,75,1810.0,71230,2.545,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
40-44,1,93,1640.0,52710,3.109,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
40-44,1,0,11270.0,395100,2.852,"1,2,3",,,
40-44,2,75,2110.0,73390,2.88,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
